MI TEAM
No	Player	Acquisition	Type	Role	Price
3	Dewald Brevis	Retained	Overseas (capped)	Batter	-
4	Ayush Mhatre	Retained	Indian (uncapped)	Batter	-
5	Urvil Patel	Retained	Indian (uncapped)	Wicketkeeper	-
6	Anshul Kamboj	Retained	Indian (capped)	All-rounder	-
7	Jamie Overton	Retained	Overseas (capped)	Bowler	-
8	Ramakrishna Ghosh	Retained	Indian (uncapped)	All-rounder	-
9	Shivam Dube	Retained	Indian (capped)	All-rounder	-
10	Khaleel Ahmed	Retained	Indian (capped)	Bowler	-
11	Noor Ahmad	Retained	Overseas (capped)	Bowler	-
12	Mukesh Choudhary	Retained	Indian (uncapped)	Bowler	-
13	Nathan Ellis	Retained	Overseas (capped)	Bowler	-
14	Shreyas Gopal	Retained	Indian (uncapped)	Bowler	-
15	Gurjapneet Singh	Retained	Indian (uncapped)	Bowler	-
16	Sanju Samson	Trade	Indian (capped)	Wicketkeeper	-
17	Akeal Hosein	Auction	Overseas (capped)	Bowler	2.00 crore
18	Prashant Veer	Auction	Indian (uncapped)	All-rounder	14.20 crore
19	Kartik Sharma	Auction	Indian (uncapped)	Wicketkeeper	14.20 crore
20	Matthew Short	Auction	Overseas (capped)	All-rounder	1.50 crore
21	Aman Khan	Auction	Indian (uncapped)	All-rounder	40 lakh
22	Sarfaraz Khan	Auction	Indian (capped)	Batter	75 lakh
23	Rahul Chahar	Auction	Indian (capped)	Bowler	1.00 crore
24	Matt Henry	Auction	Overseas (capped)	Bowler	2.00 crore
25	Zak Foulkes	Auction	Overseas (capped)	All-rounder	75 lakh
